Project,Class,Release,nAuth,ChangeSetSize,LinesOfComment,LOC,maxChangeSetSize,nCommits,nFixCommits,Age,LOCadded,maxLOCadded,Buggy
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,0,2,0,12,220,928,3,0,18,3,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,0,2,0,5,136,928,2,0,18,2,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,0,1,0,48,533,928,3,0,18,3,2,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java,0,1,0,4,36,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,0,1,0,14,174,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java,0,2,0,3,39,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,0,2,0,2,63,928,4,0,18,25,13,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,0,2,0,9,161,928,5,0,18,32,20,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,0,1,0,2,30,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java,0,2,0,3,80,928,3,0,18,13,7,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,0,1,0,2,30,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,0,2,0,3,149,928,3,0,18,25,15,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,0,2,0,3,36,928,2,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java,0,2,0,3,69,928,3,0,18,11,6,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java,0,2,0,3,69,928,3,0,18,8,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java,0,2,0,6,115,928,3,0,18,17,9,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java,0,2,0,3,87,928,3,0,18,15,9,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java,0,2,0,3,144,928,4,0,18,33,23,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java,0,2,0,7,175,928,4,0,18,31,18,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java,0,2,0,3,72,928,2,0,18,5,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java,0,2,0,3,66,928,3,0,18,10,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,0,2,0,11,154,928,3,0,18,12,7,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java,0,2,0,4,53,928,2,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java,0,1,0,3,40,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java,0,2,0,4,46,928,3,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java,0,2,0,2,58,928,2,0,18,3,3,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java,0,2,0,3,37,928,2,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java,0,2,0,2,47,928,3,0,18,7,4,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java,0,2,0,6,170,928,3,0,18,22,16,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java,0,2,0,3,70,928,2,0,18,8,8,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java,0,2,0,6,65,928,3,0,18,3,3,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,0,2,0,12,198,928,5,0,18,42,27,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java,0,1,0,15,88,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java,0,2,0,2,84,928,2,0,18,5,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,0,1,0,4,67,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,0,0,0,5,171,0,0,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,0,2,0,11,145,928,3,0,18,23,15,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java,0,1,0,1,25,26,1,0,18,7,7,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,0,2,0,6,151,928,4,0,18,21,13,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java,0,1,0,4,40,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java,0,2,0,3,69,928,3,0,18,15,9,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java,0,1,0,4,40,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java,0,2,0,3,139,928,4,0,18,32,22,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java,0,2,0,14,127,928,5,0,18,11,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java,0,2,0,3,61,928,3,0,18,12,6,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,0,2,0,3,61,928,3,0,18,11,6,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java,0,1,0,3,39,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,0,3,0,21,357,928,6,0,18,30,18,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java,0,1,0,3,41,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java,0,1,0,2,26,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java,0,2,0,2,48,928,2,0,18,1,1,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java,0,2,0,4,51,928,2,0,18,1,1,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,0,2,0,3,75,928,2,0,18,4,4,Yes
